,지역이름,지역이름(영어),확진자 수,내국인 확진자 수,외국인 확진자 수,사망자 수,누적 확진자 수
1,제주,Jeju,31,31,0,9,3762
2,경남,Gyeongsangnam-do,94,94,0,56,15236
3,경북,Gyeongsangbuk-do,106,106,0,110,11471
4,전남,Jeollanam-do,39,37,2,27,4498
5,전북,Jeollabuk-do,71,71,0,76,6453
6,충남,Chungcheongnam-do,149,149,0,80,13174
7,충북,Chungcheongbuk-do,49,49,0,92,8942
8,강원,Gangwon-do,145,142,3,75,8889
9,경기,Gyeonggi-do,1495,1490,5,1215,136546
10,세종,Sejong,8,8,0,2,1588
11,울산,Ulsan,18,18,0,57,5675
12,대전,Daejeon,166,166,0,70,8809
13,광주,Gwangju,39,39,0,30,6353
14,인천,Incheon,355,354,1,154,25299
15,대구,Daegu,70,69,1,317,19114
16,부산,Busan,158,157,1,183,16555
17,서울,Seoul,2268,2262,6,1136,158774
18,합계,Total,5266,5242,24,3705,457612
